Task_ID,Step_No,Task,Role,dispatch_date,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes,milestones
67,17,EMA pre-submission meeting,Global Regulatory Lead,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
68,17,EMA pre-submission meeting,Labeling,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
69,17,EMA pre-submission meeting,Other function,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
70,17,EMA pre-submission meeting,Regulatory CMC,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
71,17,EMA pre-submission meeting,Regulatory Operations,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
72,17,EMA pre-submission meeting,Regulatory Strategist (Global/EU),90,1,1,1,Y,5.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
73,18,Orphan Drug Designation,Global Regulatory Lead,700,150,170,210,Y,36.0,“Manages PIP orphan drug status PRIME and compliance checkscommence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
74,18,Orphan Drug Designation,Labeling,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
75,18,Orphan Drug Designation,Other function,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
76,18,Orphan Drug Designation,Regulatory CMC,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
77,18,Orphan Drug Designation,Regulatory Operations,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
78,18,Orphan Drug Designation,Regulatory Strategist (Global/EU),700,150,170,210,Y,36.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
79,19,Orphan Drug Designation granted,EMA,526,1,1,1,Y,1.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,1
58,13,Invented name (EMA NRG),Other function,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
59,13,Invented name (EMA NRG),Regulatory Operations,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
60,13,Invented name (EMA NRG),Regulatory Strategist (Global/EU),300,84,90,98,Y,4.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
60,13,Invented name approval (EMA NRG),EMA,210,1,1,1,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,1
62,15,ATC code request ,Regulatory Strategist (Global/EU),300,70,80,90,Y,36.0,Submission of the ATC (Anatomical Therapeutic Chemical) code request to WHO required for the MAA dossier. Ideally submitted up to 12 months before the planned submission and no later than 3 months prior to ensure the product is assigned an official ATC classification in time for evaluation.,0
62,15,ATC code request ,Regulatory Operations,300,70,80,90,Y,6.0,Submission of the ATC (Anatomical Therapeutic Chemical) code request to WHO required for the MAA dossier. Ideally submitted up to 12 months before the planned submission and no later than 3 months prior to ensure the product is assigned an official ATC classification in time for evaluation.,0
62,15,ATC code request submitted,Regulatory Strategist (Global/EU),230,1,1,1,Y,36.0,Submission of the ATC (Anatomical Therapeutic Chemical) code request to WHO required for the MAA dossier. Ideally submitted up to 12 months before the planned submission and no later than 3 months prior to ensure the product is assigned an official ATC classification in time for evaluation.,1
63,16,Final nonclinical pharmacology study report,Other function,550,159,159,159,Y,0.2,Provides definitive nonclinical pharmacology results for efficacy and safety assessment,0
64,17,Final nonclinical pharmacokinetic study report,Other function,550,159,159,159,Y,0.2,Provides final nonclinical pharmacokinetic results,0
65,18,Final nonclinical toxicology study report,Other function,550,159,159,159,Y,0.2,Provides definitive nonclinical toxicology results for safety evaluation,0
66,19,Final clinical study report (last pivotal study),Other function,450,288,288,288,Y,0.2,Provides final report for the last pivotal clinical study,0
67,20,Population PK analysis report,Regulatory Operations,450,288,288,288,Y,12.0,Provides population pharmacokinetic analysis across clinical studies,0
68,21,Integrated Summary of Safety (ISS),Global Regulatory Lead,400,350,350,350,Y,12.0,Summarises safety findings across clinical studies,0
69,21,Integrated Summary of Safety (ISS),Labeling,400,350,350,350,Y,12.0,Summarises safety findings across clinical studies,0
70,21,Integrated Summary of Safety (ISS),Other function,400,350,350,350,Y,12.0,Summarises safety findings across clinical studies,0
71,21,Integrated Summary of Safety (ISS),Regulatory Operations,400,350,350,350,Y,12.0,Summarises safety findings across clinical studies,0
72,21,Integrated Summary of Safety (ISS),Regulatory Strategist (Global/EU),400,350,350,350,Y,12.0,Summarises safety findings across clinical studies,0
73,22,Integrated Summary of Efficacy (ISE),Global Regulatory Lead,400,350,350,350,Y,12.0,Summarises efficacy findings across clinical studies,0
74,22,Integrated Summary of Efficacy (ISE),Labeling,400,350,350,350,Y,12.0,Summarises efficacy findings across clinical studies,0
75,22,Integrated Summary of Efficacy (ISE),Other function,400,350,350,350,Y,12.0,Summarises efficacy findings across clinical studies,0
76,22,Integrated Summary of Efficacy (ISE),Regulatory Operations,400,350,350,350,Y,12.0,Summarises efficacy findings across clinical studies,0
77,22,Integrated Summary of Efficacy (ISE),Regulatory Strategist (Global/EU),400,350,350,350,Y,12.0,Summarises efficacy findings across clinical studies,0
78,23,Integrated Summary of Immunogenicity,Global Regulatory Lead,400,350,350,350,Y,6.0,Summarises clinical immunogenicity across studies,0
79,23,Integrated Summary of Immunogenicity,Labeling,400,350,350,350,Y,6.0,Summarises clinical immunogenicity across studies,0
80,23,Integrated Summary of Immunogenicity,Other function,400,350,350,350,Y,6.0,Summarises clinical immunogenicity across studies,0
81,23,Integrated Summary of Immunogenicity,Regulatory Operations,400,350,350,350,Y,6.0,Summarises clinical immunogenicity across studies,0
82,23,Integrated Summary of Immunogenicity,Regulatory Strategist (Global/EU),400,350,350,350,Y,6.0,Summarises clinical immunogenicity across studies,0
83,24,Summary of Biopharmaceutic Studies (Module 2.7.1),Global Regulatory Lead,400,350,350,350,Y,3.0,Summarises bioavailability and bioequivalence evidence,0
84,24,Summary of Biopharmaceutic Studies (Module 2.7.1),Labeling,400,350,350,350,Y,3.0,Summarises bioavailability and bioequivalence evidence,0
85,24,Summary of Biopharmaceutic Studies (Module 2.7.1),Other function,400,350,350,350,Y,3.0,Summarises bioavailability and bioequivalence evidence,0
86,24,Summary of Biopharmaceutic Studies (Module 2.7.1),Regulatory Operations,400,350,350,350,Y,3.0,Summarises bioavailability and bioequivalence evidence,0
87,24,Summary of Biopharmaceutic Studies (Module 2.7.1),Regulatory Strategist (Global/EU),400,350,350,350,Y,3.0,Summarises bioavailability and bioequivalence evidence,0
88,25,Summary of Clinical Pharmacology (Module 2.7.2),Global Regulatory Lead,400,350,350,350,Y,6.0,Summarises clinical pharmacology including PK and PD,0
89,25,Summary of Clinical Pharmacology (Module 2.7.2),Labeling,400,350,350,350,Y,6.0,Summarises clinical pharmacology including PK and PD,0
90,25,Summary of Clinical Pharmacology (Module 2.7.2),Other function,400,350,350,350,Y,6.0,Summarises clinical pharmacology including PK and PD,0
91,25,Summary of Clinical Pharmacology (Module 2.7.2),Regulatory Operations,400,350,350,350,Y,6.0,Summarises clinical pharmacology including PK and PD,0
92,25,Summary of Clinical Pharmacology (Module 2.7.2),Regulatory Strategist (Global/EU),400,350,350,350,Y,6.0,Summarises clinical pharmacology including PK and PD,0
93,26,Summary of Clinical Efficacy (Module 2.7.3),Global Regulatory Lead,400,350,350,350,Y,9.0,Presents integrated clinical efficacy summary,0
94,26,Summary of Clinical Efficacy (Module 2.7.3),Labeling,400,350,350,350,Y,9.0,Presents integrated clinical efficacy summary,0
95,26,Summary of Clinical Efficacy (Module 2.7.3),Other function,400,350,350,350,Y,9.0,Presents integrated clinical efficacy summary,0
96,26,Summary of Clinical Efficacy (Module 2.7.3),Regulatory Operations,400,350,350,350,Y,9.0,Presents integrated clinical efficacy summary,0
97,26,Summary of Clinical Efficacy (Module 2.7.3),Regulatory Strategist (Global/EU),400,350,350,350,Y,9.0,Presents integrated clinical efficacy summary,0
98,27,Summary of Clinical Safety (Module 2.7.4),Global Regulatory Lead,400,350,350,350,Y,9.0,Presents integrated clinical safety summary,0
99,27,Summary of Clinical Safety (Module 2.7.4),Labeling,400,350,350,350,Y,9.0,Presents integrated clinical safety summary,0
100,27,Summary of Clinical Safety (Module 2.7.4),Other function,400,350,350,350,Y,9.0,Presents integrated clinical safety summary,0
101,27,Summary of Clinical Safety (Module 2.7.4),Regulatory Operations,400,350,350,350,Y,9.0,Presents integrated clinical safety summary,0
102,27,Summary of Clinical Safety (Module 2.7.4),Regulatory Strategist (Global/EU),400,350,350,350,Y,9.0,Presents integrated clinical safety summary,0
103,28,Clinical Overview (Module 2.5),Global Regulatory Lead,400,350,350,350,Y,6.0,Provides high level clinical assessment and benefit risk,0
104,28,Clinical Overview (Module 2.5),Labeling,400,350,350,350,Y,6.0,Provides high level clinical assessment and benefit risk,0
105,28,Clinical Overview (Module 2.5),Other function,400,350,350,350,Y,6.0,Provides high level clinical assessment and benefit risk,0
106,28,Clinical Overview (Module 2.5),Regulatory Operations,400,350,350,350,Y,6.0,Provides high level clinical assessment and benefit risk,0
107,28,Clinical Overview (Module 2.5),Regulatory Strategist (Global/EU),400,350,350,350,Y,6.0,Provides high level clinical assessment and benefit risk,0
108,29,Clinical literature references compiled (Module 2.7.5),Labeling,400,350,350,350,Y,3.0,Collects clinical literature citations for module two,0
109,30,Clinical study synopses finalized (Module 2.7.6),Regulatory Strategist (Global/EU),400,350,350,350,Y,2.0,Finalises ICH E3 study synopses for module two,0
110,31,Nonclinical Introduction (Module 2.6.1),Global Regulatory Lead,400,288,288,288,Y,0.4,Introduces scope of nonclinical summaries,0
111,31,Nonclinical Introduction (Module 2.6.1),Other function,400,288,288,288,Y,0.4,Introduces scope of nonclinical summaries,0
112,31,Nonclinical Introduction (Module 2.6.1),Regulatory Operations,400,288,288,288,Y,0.4,Introduces scope of nonclinical summaries,0
113,31,Nonclinical Introduction (Module 2.6.1),Regulatory Strategist (Global/EU),400,288,288,288,Y,0.4,Introduces scope of nonclinical summaries,0
114,32,Nonclinical Written Summary – Pharmacology (Module 2.6.2),Regulatory Strategist (Global/EU),400,288,288,288,Y,3.0,Summarises primary and secondary pharmacology,0
115,33,Nonclinical Tabulated Summary – Pharmacology (Module 2.6.3),Regulatory Strategist (Global/EU),400,288,288,288,Y,2.0,Provides tabulated pharmacology data,0
116,34,Nonclinical Written Summary – Pharmacokinetics (Module 2.6.4),Regulatory Strategist (Global/EU),400,288,288,288,Y,3.0,Summarises absorption distribution metabolism and excretion,0
117,35,Nonclinical Tabulated Summary – Pharmacokinetics (Module 2.6.5),Regulatory Strategist (Global/EU),400,288,288,288,Y,2.0,Provides tabulated pharmacokinetic data,0
118,36,Nonclinical Written Summary – Toxicology (Module 2.6.6),Regulatory Strategist (Global/EU),400,288,288,288,Y,6.0,Summarises toxicology findings and safety margins,0
119,37,Nonclinical Tabulated Summary – Toxicology (Module 2.6.7),Regulatory Strategist (Global/EU),400,288,288,288,Y,3.0,Provides tabulated toxicology data,0
120,38,Nonclinical Overview (Module 2.4),Global Regulatory Lead,400,288,288,288,Y,6.0,Provides overall interpretation of nonclinical program,0
121,38,Nonclinical Overview (Module 2.4),Other function,400,288,288,288,Y,6.0,Provides overall interpretation of nonclinical program,0
122,38,Nonclinical Overview (Module 2.4),Regulatory Operations,400,288,288,288,Y,6.0,Provides overall interpretation of nonclinical program,0
123,38,Nonclinical Overview (Module 2.4),Regulatory Strategist (Global/EU),400,288,288,288,Y,6.0,Provides overall interpretation of nonclinical program,0
124,39,Nonclinical literature references compiled (Module 4.3),Regulatory Strategist (Global/EU),450,288,280,280,Y,1.0,Collects nonclinical literature citations for module four,0
125,40,GMP Clearance (for manufacturing sites),Other function,150,120,120,120,Y,18.0,Confirms EU GMP compliance of manufacturing sites,0
126,40,GMP Clearance (for manufacturing sites),Regulatory CMC,150,120,120,120,Y,18.0,Confirms EU GMP compliance of manufacturing sites,0
127,40,GMP Clearance (for manufacturing sites),Regulatory Operations,150,120,120,120,Y,18.0,Confirms EU GMP compliance of manufacturing sites,0
128,40,GMP Clearance (for manufacturing sites),Regulatory Strategist (Global/EU),150,120,120,120,Y,18.0,Confirms EU GMP compliance of manufacturing sites,0
129,41,GMP Certificates (from manufacturing sites),Other function,150,120,120,120,Y,18.0,Collects valid GMP certificates from authorities,0
130,41,GMP Certificates (from manufacturing sites),Regulatory CMC,150,120,120,120,Y,18.0,Collects valid GMP certificates from authorities,0
131,41,GMP Certificates (from manufacturing sites),Regulatory Operations,150,120,120,120,Y,18.0,Collects valid GMP certificates from authorities,0
132,41,GMP Certificates (from manufacturing sites),Regulatory Strategist (Global/EU),150,120,120,120,Y,18.0,Collects valid GMP certificates from authorities,0
133,42,Manufacturing Authorisations collected,Regulatory Operations,150,120,120,120,Y,6.0,Collects manufacturing authorisations for sites,0
134,43,Manufacturing Process Flow Chart completed,Regulatory Operations,450,350,350,350,Y,"2.8""",Documents process flow for drug product and substance,0
135,44,3.2.S.1 Drug Substance: General Information section,Labeling,450,350,350,350,Y,2.0,Describes substance nomenclature and structure,0
136,44,3.2.S.1 Drug Substance: General Information section,Other function,450,350,350,350,Y,2.0,Describes substance nomenclature and structure,0
137,44,3.2.S.1 Drug Substance: General Information section,Regulatory CMC,450,350,350,350,Y,2.0,Describes substance nomenclature and structure,0
138,44,3.2.S.1 Drug Substance: General Information section,Regulatory Operations,450,350,350,350,Y,2.0,Describes substance nomenclature and structure,0
139,44,3.2.S.1 Drug Substance: General Information section,Regulatory Strategist (Global/EU),450,350,350,350,Y,2.0,Describes substance nomenclature and structure,0
140,45,3.2.S.2 Drug Substance: Manufacture section,Labeling,450,350,350,350,Y,9.0,Describes manufacturers and process controls,0
141,45,3.2.S.2 Drug Substance: Manufacture section,Other function,450,350,350,350,Y,9.0,Describes manufacturers and process controls,0
142,45,3.2.S.2 Drug Substance: Manufacture section,Regulatory CMC,450,350,350,350,Y,9.0,Describes manufacturers and process controls,0
143,45,3.2.S.2 Drug Substance: Manufacture section,Regulatory Operations,450,350,350,350,Y,9.0,Describes manufacturers and process controls,0
144,45,3.2.S.2 Drug Substance: Manufacture section,Regulatory Strategist (Global/EU),450,350,350,350,Y,9.0,Describes manufacturers and process controls,0
145,46,3.2.S.3 Drug Substance: Characterisation section,Labeling,450,350,350,350,Y,6.0,Details physicochemical and biological characterisation,0
146,46,3.2.S.3 Drug Substance: Characterisation section,Other function,450,350,350,350,Y,6.0,Details physicochemical and biological characterisation,0
