Task_ID,Step_No,Task,Role,dispatch_date,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes,milestones
61,15,Preparation of the pre-submission meeting with Rapporteurs,Regulatory Strategist (Global/EU),180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
62,16,Pre-submission meeting with Rapporteurs Request,Global Regulatory Lead,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
63,16,Pre-submission meeting with Rapporteurs Request,Labeling,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
64,16,Pre-submission meeting with Rapporteurs Request,Regulatory CMC,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
65,16,Pre-submission meeting with Rapporteurs Request,Regulatory Operations,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
66,16,Pre-submission meeting with Rapporteurs Request,Regulatory Strategist (Global/EU),185,2,2,2,Y,5.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
67,17,EMA pre-submission meeting,Global Regulatory Lead,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
68,17,EMA pre-submission meeting,Labeling,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
69,17,EMA pre-submission meeting,Other function,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
70,17,EMA pre-submission meeting,Regulatory CMC,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
71,17,EMA pre-submission meeting,Regulatory Operations,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
72,17,EMA pre-submission meeting,Regulatory Strategist (Global/EU),90,1,1,1,Y,5.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
73,18,Orphan Drug Designation,Global Regulatory Lead,700,150,170,210,Y,36.0,“Manages PIP orphan drug status PRIME and compliance checkscommence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
74,18,Orphan Drug Designation,Labeling,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
75,18,Orphan Drug Designation,Other function,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
76,18,Orphan Drug Designation,Regulatory CMC,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
77,18,Orphan Drug Designation,Regulatory Operations,700,150,170,210,Y,30.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
78,18,Orphan Drug Designation,Regulatory Strategist (Global/EU),700,150,170,210,Y,36.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,0
79,19,Orphan Drug Designation granted,EMA,526,1,1,1,Y,1.0,“Manages PIP orphan drug status PRIME and compliance checks commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP “,1
58,13,Invented name (EMA NRG),Other function,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
59,13,Invented name (EMA NRG),Regulatory Operations,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
60,13,Invented name (EMA NRG),Regulatory Strategist (Global/EU),300,84,90,98,Y,4.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
60,13,Invented name approval (EMA NRG),EMA,210,1,1,1,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,1
62,15,ATC code request ,Regulatory Strategist (Global/EU),300,70,80,90,Y,36.0,Submission of the ATC (Anatomical Therapeutic Chemical) code request to WHO required for the MAA dossier. Ideally submitted up to 12 months before the planned submission and no later than 3 months prior to ensure the product is assigned an official ATC classification in time for evaluation.,0
62,15,ATC code request ,Regulatory Operations,300,70,80,90,Y,6.0,Submission of the ATC (Anatomical Therapeutic Chemical) code request to WHO required for the MAA dossier. Ideally submitted up to 12 months before the planned submission and no later than 3 months prior to ensure the product is assigned an official ATC classification in time for evaluation.,0
62,15,ATC code request submitted,Regulatory Strategist (Global/EU),230,1,1,1,Y,36.0,Submission of the ATC (Anatomical Therapeutic Chemical) code request to WHO required for the MAA dossier. Ideally submitted up to 12 months before the planned submission and no later than 3 months prior to ensure the product is assigned an official ATC classification in time for evaluation.,1
87,23,Company Core Data Sheet (CCDS),Labelling,700,600,640,650,Y,12.0,Company core data sheet is finalized aligned with global labeling and serves as the reference for SmPC and PI,0
88,24,Messaging alignment meeting 1,Global Regulatory Lead,420,1,1,1,Y,1.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
88,24,Messaging alignment meeting 1,Management,420,1,1,1,Y,1.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
89,24,Messaging alignment meeting 1,Labeling,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
90,24,Messaging alignment meeting 1,Other function,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
91,24,Messaging alignment meeting 1,Regulatory CMC,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
92,24,Messaging alignment meeting 1,Regulatory Strategist (Global/EU),420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
93,25,Messaging alignment meeting 2,Global Regulatory Lead,300,1,1,1,Y,1.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
94,25,Messaging alignment meeting 2,Labeling,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
95,25,Messaging alignment meeting 2,Other function,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
96,25,Messaging alignment meeting 2,Regulatory CMC,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
97,25,Messaging alignment meeting 2,Regulatory Operations,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
98,25,Messaging alignment meeting 2,Regulatory Strategist (Global/EU),300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
99,26,Product Artwork and Mock-ups,Labelling,130,109,109,109,Y,6.0,Product artwork and mock ups are developed checked and approved in line with CCDS and QRD templates,0
99,26,Product Artwork and Mock-ups,Regulatory Strategist (Global/EU),130,109,109,109,Y,6.0,Product artwork and mock ups are developed checked and approved in line with CCDS and QRD templates,0
99,26,Product Artwork and Mock-ups,Other function,130,109,109,109,Y,6.0,Product artwork and mock ups are developed checked and approved in line with CCDS and QRD templates,0
100,27,Compilation of eCTD dossier,Regulatory Operations,130,99,99,99,Y,2.8,Full eCTD sequence is compiled validated and prepared for submission according to technical standards,0
101,28,Final internal review and sign-off,Global Regulatory Lead,31,5,5,5,Y,4.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
102,28,Final internal review and sign-off,Labeling,31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
103,28,Final internal review and sign-off,Other function,31,5,5,5,Y,2.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
104,28,Final internal review and sign-off,Regulatory CMC,31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
105,28,Final internal review and sign-off,Regulatory Operation,31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
105,28,Final internal review and sign-off,Regulatory Strategist (Global/EU),31,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
106,29,Validation of dispatch of MAA to EMA,Regulatory Operations,26,1,1,1,Y,2.0,Validation step confirms readiness of submission package five days before official dispatch,1
107,30,dispatch of MAA to EMA,Regulatory Operations,21,1,1,1,Y,0.2,Marketing authorisation application is officially dispatched to EMA as planned submission,1
108,31,EMA confirmation of submission receipt,EMA,0,1,1,1,Y,0.2,EMA confirms receipt of submission package approximately thirty days after dispatch,1
