Task_ID,Step_No,Task,Role,dispatch_date,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes,milestones
38,9,Preparation of the pre-submission meeting with Rapporteurs,Regulatory Strategist (Global/EU),180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
39,10,Pre-submission meeting with Rapporteurs Request,Global Regulatory Lead,185,1,1,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
40,10,Pre-submission meeting with Rapporteurs Request,Labeling,185,1,1,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
41,10,Pre-submission meeting with Rapporteurs Request,Regulatory CMC,185,1,1,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
42,10,Pre-submission meeting with Rapporteurs Request,Regulatory Operations,185,1,1,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
43,10,Pre-submission meeting with Rapporteurs Request,Regulatory Strategist (Global/EU),185,1,1,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
44,11,EMA pre-submission meeting,Global Regulatory Lead,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
45,11,EMA pre-submission meeting,Labeling,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
46,11,EMA pre-submission meeting,Other function,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
47,11,EMA pre-submission meeting,Regulatory CMC,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
48,11,EMA pre-submission meeting,Regulatory Operations,90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
49,11,EMA pre-submission meeting,Regulatory Strategist (Global/EU),90,1,1,1,Y,1.0,Official pre-submission meeting with EMA Rapporteurs usually scheduled about 3 months before the planned submission. Its purpose is to review the overall MAA package clarify regulatory expectations and ensure readiness for validation and assessment.,1
50,12,Orphan Drug Designation ,Global Regulatory Lead,700,150,170,210,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks,commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP ",0
51,12,Orphan Drug Designation ,Labeling,700,150,170,210,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks,commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP ",0
52,12,Orphan Drug Designation ,Other function,700,150,170,210,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks,commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP ",0
53,12,Orphan Drug Designation ,Regulatory CMC,700,150,170,210,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks,commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP ",0
54,12,Orphan Drug Designation ,Regulatory Operations,700,150,170,210,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks,commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP ",0
55,12,Orphan Drug Designation ,Regulatory Strategist (Global/EU),700,150,170,210,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks,commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP ",0
50,12,Orphan Drug Designation granted,EMA,700,150,170,210,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks,commence avant le pip pendant phase 2 et se termine 3 mosi avant le PIP ",0
56,13,Invented name approval (EMA NRG),Global Regulatory Lead,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
57,13,Invented name approval (EMA NRG),Labeling,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
58,13,Invented name approval (EMA NRG),Other function,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
59,13,Invented name approval (EMA NRG),Regulatory Operations,300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
60,13,Invented name approval (EMA NRG),Regulatory Strategist (Global/EU),300,84,90,98,Y,2.0,Submission of the invented name request to the EMA Name Review Group (NRG) ideally 12 months before the planned MAA submission. This step secures approval of the proposed product name which is mandatory for the MAA. In a worst-case scenario the request may still be accepted up to 4 months before submission.,0
61,14,IDMP data readiness assesment done,Regulatory Operations,180,84,120,168,Y,24.0,Assessment of Identification of Medicinal Products (IDMP) data readiness to ensure compliance with EMA data standards for submission. Initiated about 6 months before submission and finalized within 21 days prior this step secures that all product master data are complete and aligned for the MAA lifecycle management.,0
62,15,ATC code request submitted,Regulatory Operations,300,70,80,90,Y,36.0,Submission of the ATC (Anatomical Therapeutic Chemical) code request to WHO required for the MAA dossier. Ideally submitted up to 12 months before the planned submission and no later than 3 months prior to ensure the product is assigned an official ATC classification in time for evaluation.,0
230,67,Company Core Data Sheet (CCDS) finalized,Regulatory Operations,700,600,640,650,Y,12.0,Company core data sheet is finalized aligned with global labeling and serves as the reference for SmPC and PI,0
236,70,Messaging alignment meeting 1,Global Regulatory Lead,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
237,70,Messaging alignment meeting 1,Labeling,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
238,70,Messaging alignment meeting 1,Other function,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
239,70,Messaging alignment meeting 1,Regulatory CMC,420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
240,70,Messaging alignment meeting 1,Regulatory Strategist (Global/EU),420,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
241,71,Messaging alignment meeting 2,Global Regulatory Lead,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
242,71,Messaging alignment meeting 2,Labeling,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
243,71,Messaging alignment meeting 2,Other function,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
244,71,Messaging alignment meeting 2,Regulatory CMC,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
245,71,Messaging alignment meeting 2,Regulatory Operations,300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
246,71,Messaging alignment meeting 2,Regulatory Strategist (Global/EU),300,1,1,1,Y,0.2,Cross functional alignment meeting ensures consistency of key regulatory and scientific messages,1
250,74,Product Artwork and Mock-ups ready,Regulatory Operations,130,109,109,109,Y,6.0,Product artwork and mock ups are developed checked and approved in line with CCDS and QRD templates,0
251,75,Compilation of eCTD dossier,Regulatory Operations,130,0,0,0,Y,2.8,Full eCTD sequence is compiled validated and prepared for submission according to technical standards,0
252,76,Final internal review and sign-off,Global Regulatory Lead,10,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
253,76,Final internal review and sign-off,Labeling,10,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
254,76,Final internal review and sign-off,Other function,10,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
255,76,Final internal review and sign-off,Regulatory CMC,10,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
256,76,Final internal review and sign-off,Regulatory Strategist (Global/EU),10,5,5,5,Y,0.4,Final quality control and internal sign off are performed before dispatch of the dossier,0
257,77,Validation of dispatch of MAA to EMA,EMA,5,1,1,1,Y,2.0,Validation step confirms readiness of submission package five days before official dispatch,1
258,78,dispatch of MAA to EMA,Regulatory Operations,0,0,0,0,Y,0.2,Marketing authorisation application is officially dispatched to EMA as planned submission,0
259,79,EMA confirmation of submission receipt,EMA,-21,1,1,1,Y,0.2,EMA confirms receipt of submission package approximately thirty days after dispatch,1


